split,video_id,calibration_status,residual_median_px,residual_p95_px,ransac_inlier_ratio,black_key_anchor_count,method,notes,json_path,video_path,skipped_existing,elapsed_s
train,2024-02-20_18-23-30,failed,6.778512954711914,57.994301033019894,0.5333333333333333,42,white_edge,method=white_edge_correlation we_corr=0.413 we_med=6.78 bk_med=7.66 nc_med=8.10 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/train/2024-02-20_18-23-30.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-20_18-23-30.mp4,False,2.82
train,2024-02-22_11-58-09,accepted_loose,3.6826467514038086,190.90353622436527,0.4583333333333333,44,white_edge,method=white_edge_correlation we_corr=0.481 we_med=3.68 bk_med=10.74 nc_med=9.02 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/train/2024-02-22_11-58-09.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-22_11-58-09.mp4,False,2.92
train,2024-02-22_14-11-52,accepted_loose,3.879438877105713,193.21196975707997,0.5,42,white_edge,method=white_edge_correlation we_corr=0.602 we_med=3.88 bk_med=4.39 nc_med=9.48 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/train/2024-02-22_14-11-52.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-22_14-11-52.mp4,False,2.85
train,2024-03-04_03-46-36,failed,4.3802971839904785,177.53280029296852,0.45161290322580644,45,white_edge,method=white_edge_correlation we_corr=0.563 we_med=4.38 bk_med=12.34 nc_med=8.99 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/train/2024-03-04_03-46-36.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-03-04_03-46-36.mp4,False,2.64
train,2024-03-04_03-50-34,failed,4.128413677215576,100.86720962524407,0.5882352941176471,50,white_edge,method=white_edge_correlation we_corr=0.511 we_med=4.13 bk_med=5.83 nc_med=10.02 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/train/2024-03-04_03-50-34.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-03-04_03-50-34.mp4,False,2.78
train,2024-03-04_04-14-36,failed,4.467164993286133,26.49227380752563,0.6363636363636364,48,black_key,method=black_key_ransac we_corr=0.470 we_med=6.03 bk_med=4.47 nc_med=10.14 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/train/2024-03-04_04-14-36.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-03-04_04-14-36.mp4,False,2.77
train,2024-03-04_04-32-11,failed,5.905467987060547,115.19780006408675,0.7222222222222222,50,white_edge,method=white_edge_correlation we_corr=0.420 we_med=5.91 bk_med=8.39 nc_med=9.56 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/train/2024-03-04_04-32-11.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-03-04_04-32-11.mp4,False,2.93
train,2024-03-04_04-36-26,accepted_loose,3.777728319168091,135.962717437744,0.5294117647058824,50,white_edge,method=white_edge_correlation we_corr=0.466 we_med=3.78 bk_med=6.29 nc_med=9.00 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/train/2024-03-04_04-36-26.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-03-04_04-36-26.mp4,False,2.86
train,2024-03-04_22-38-33,failed,7.105468273162842,101.55303039550763,0.45454545454545453,29,white_edge,method=white_edge_correlation we_corr=0.656 we_med=7.11 bk_med=7.80 nc_med=16.69 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/train/2024-03-04_22-38-33.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-03-04_22-38-33.mp4,False,2.77
train,2024-03-11_22-23-29,failed,6.05168342590332,141.7474479675293,0.56,36,white_edge,method=white_edge_correlation we_corr=0.653 we_med=6.05 bk_med=11.33 nc_med=10.22 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/train/2024-03-11_22-23-29.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-03-11_22-23-29.mp4,False,2.79
train,2024-03-12_15-43-01,failed,4.079312324523926,108.23407630920406,0.5714285714285714,38,white_edge,method=white_edge_correlation we_corr=0.573 we_med=4.08 bk_med=14.44 nc_med=11.04 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/train/2024-03-12_15-43-01.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-03-12_15-43-01.mp4,False,2.66
