threshold,metric,metric_value,ev_f1_mean,ev_f1_mean_anypitch,patk_frame_f1,patk_onset_f1,patk_note_f1,pitch_active_precision,pitch_active_recall,pitch_active_f1,pitch_inactive_specificity,pitch_exact_frame_match,pitch_frame_jaccard,pitch_pred_active_per_frame,pitch_gt_active_per_frame,pitch_polyphony_mae
0.09,patk_note_f1,0.0,0.0882597472415953,0.21356704367610607,0.06669044158069198,0.03846153619732923,0.0,0.03449821970195582,0.9992360580519539,0.06669386025628077,0.002724276023645974,0.0,0.03446636629133136,87.76620370167208,3.0300925925224513,84.73611110914962
0.1,patk_note_f1,0.0,0.0882597472415953,0.21356704367610607,0.06676357265938848,0.03436425906884543,0.0,0.034541037287410335,0.9992360580519539,0.06677387177919195,0.004004685754759582,0.0,0.03451564999393197,87.6574074053783,3.0300925925224513,84.62731481285584
0.11,patk_note_f1,0.0,0.0882597472415953,0.21356704367610607,0.0667534915266939,0.030303028442928592,0.0,0.034438067024615965,0.9946524064095138,0.0665712234046112,0.005503037567764867,0.0,0.034398677262888804,87.51620370167787,3.0300925925224513,84.48611110915542
0.12,patk_note_f1,0.0,0.0882597472415953,0.21356704367610607,0.06650126543456526,0.02609727004673203,0.0,0.03435478740323551,0.9900687547670737,0.06640534867155068,0.007600730105972267,0.0,0.03431957495123212,87.32407407205268,3.0300925925224513,84.29398147953023
0.13,patk_note_f1,0.0,0.0882597472415953,0.21356704367610607,0.06644450076127031,0.02641056280650083,0.0,0.03429497396662568,0.9862490450650402,0.066285009490885,0.009643937123706748,0.0,0.03428501424088097,87.13888888687178,3.0300925925224513,84.10879629434933
0.14,patk_note_f1,0.0,0.0882597472415953,0.21356704367610607,0.06607069396575763,0.023980813909879377,0.0,0.03427521372072911,0.9831932773034134,0.06624118520512108,0.012123028305224584,0.0,0.03429246542541614,86.91898147946947,3.0300925925224513,83.88888888694702
0.15,patk_note_f1,0.0,0.0882597472415953,0.21356704367610607,0.0661157018279906,0.02168674562557709,0.0,0.034240538447147716,0.97937356760138,0.06616774128265947,0.014929032609579937,0.0,0.03429507438548721,86.66898147947525,3.0300925925224513,83.6388888869528
0.16,patk_note_f1,0.0,0.0882597472415953,0.21356704367610607,0.06607474640468698,0.019488427558442368,0.0,0.034134447927542236,0.9732620320781264,0.06595568375196106,0.01792573623559051,0.0,0.03425342440977397,86.39583333133344,3.0300925925224513,83.36574073881097
0.17,patk_note_f1,0.0,0.0882597472415953,0.21356704367610607,0.06597276098353243,0.017156861659067497,0.0,0.03412694147362978,0.9702062643164997,0.06593463579441555,0.020786226060418782,0.0,0.03429218154415748,86.14351851652445,3.0300925925224513,83.113425924002
0.18,patk_note_f1,0.0,0.0882597472415953,0.21356704367610607,0.06607495003394737,0.01481481385334559,0.0,0.03409427809071124,0.9663865546144662,0.06586483324770495,0.023673958645483512,0.0,0.03434594436978535,85.88657407208596,3.0300925925224513,82.85648147956351
0.19,patk_note_f1,0.0,0.0882597472415953,0.21356704367610607,0.06595123918293669,0.012422359393727152,0.0,0.0339698166278915,0.959511077150806,0.06561659156058443,0.026943089873858683,0.0,0.03425533393388314,85.58796296098176,3.0300925925224513,82.5578703684593
0.2,patk_note_f1,0.0,0.0882597472415953,0.21356704367610607,0.06572033499894266,0.012484393739473645,0.0,0.03389784508493897,0.9541634835679591,0.0654697935976113,0.03023946386247031,0.0,0.034292981567240956,85.29166666469231,3.0300925925224513,82.26157407216986
0.21,patk_note_f1,0.0,0.0882597472415953,0.21356704367610607,0.06555226007604874,0.012547050764646003,0.0,0.033884455097640105,0.9503437738659256,0.0654357996612488,0.03372653717273716,0.0,0.03444321723265842,84.98379629432908,3.0300925925224513,81.95370370180663
