epoch,checkpoint,calibration_path,calibration_onset_open,calibration_offset_open,calibration_ev_f1_mean,eval_ev_f1_mean,eval_ev_f1_mean_anypitch,eval_patk_onset_f1,eval_patk_note_f1,eval_onset_event_f1,eval_offset_event_f1
177,/home/achatzigiannis/tivit-logs/manual_training/checkpoints/epoch_177.pt,/home/achatzigiannis/tivit-logs/manual_training/sweeps/lowlogit_v1/epoch_177/calibration.json,0.013,0.02,0.061309578345960986,0.06108338508703051,0.48527733051273486,0.047914813605260204,0.012422355752870037,0.05900887801672573,0.06315789215733529
199,/home/achatzigiannis/tivit-logs/manual_training/checkpoints/epoch_199.pt,/home/achatzigiannis/tivit-logs/manual_training/sweeps/lowlogit_v1/epoch_199/calibration.json,0.028,0.02,0.05991751392827814,0.06107415998610732,0.4607401642467325,0.04006409830034832,0.009615380351875785,0.06159959949241891,0.060548720479795724
133,/home/achatzigiannis/tivit-logs/manual_training/checkpoints/epoch_133.pt,/home/achatzigiannis/tivit-logs/manual_training/sweeps/lowlogit_v1/epoch_133/calibration.json,0.018,0.035,0.06200216554081202,0.06106293204088925,0.31806840112195134,0.026639339486934182,0.006147536208458468,0.068947638072643,0.0531782260091355
194,/home/achatzigiannis/tivit-logs/manual_training/checkpoints/epoch_194.pt,/home/achatzigiannis/tivit-logs/manual_training/sweeps/lowlogit_v1/epoch_194/calibration.json,0.018,0.02,0.0605018649142397,0.06095814925077634,0.5370704470108889,0.03611737737733176,0.01053423215555399,0.06235925630823944,0.05955704219331324
200,/home/achatzigiannis/tivit-logs/manual_training/checkpoints/epoch_200.pt,/home/achatzigiannis/tivit-logs/manual_training/sweeps/lowlogit_v1/epoch_200/calibration.json,0.033,0.02,0.059011259324212834,0.06072818062385238,0.45410819753105813,0.039694652340997456,0.010687018753433811,0.06206151856722347,0.05939484268048128
190,/home/achatzigiannis/tivit-logs/manual_training/checkpoints/epoch_190.pt,/home/achatzigiannis/tivit-logs/manual_training/sweeps/lowlogit_v1/epoch_190/calibration.json,0.018,0.02,0.06214293455337101,0.06071267216738882,0.5271262545342479,0.03970003962784787,0.009704450744126403,0.06198416483255539,0.05944117950222225
147,/home/achatzigiannis/tivit-logs/manual_training/checkpoints/epoch_147.pt,/home/achatzigiannis/tivit-logs/manual_training/sweeps/lowlogit_v1/epoch_147/calibration.json,0.023,0.04,0.062497749521587494,0.060557696293436734,0.3401083974459716,0.032728876537070066,0.007961074679705925,0.06960950423466424,0.051505888352209234
139,/home/achatzigiannis/tivit-logs/manual_training/checkpoints/epoch_139.pt,/home/achatzigiannis/tivit-logs/manual_training/sweeps/lowlogit_v1/epoch_139/calibration.json,0.023,0.045,0.06594938682891106,0.06035212144842442,0.3112094361665395,0.030754888224917287,0.007455726994940859,0.06810035488388921,0.05260388801295963
167,/home/achatzigiannis/tivit-logs/manual_training/checkpoints/epoch_167.pt,/home/achatzigiannis/tivit-logs/manual_training/sweeps/lowlogit_v1/epoch_167/calibration.json,0.018,0.015,0.06102785438112955,0.060316473967389574,0.49992567174447783,0.044386418523001875,0.009573537757423102,0.06581510872033834,0.054817839214440806
138,/home/achatzigiannis/tivit-logs/manual_training/checkpoints/epoch_138.pt,/home/achatzigiannis/tivit-logs/manual_training/sweeps/lowlogit_v1/epoch_138/calibration.json,0.018,0.04,0.06384808307325299,0.060084634014269694,0.31738849038261374,0.03185011248667256,0.008430908739821198,0.0698734145855281,0.05029585344301128
129,/home/achatzigiannis/tivit-logs/manual_training/checkpoints/epoch_129.pt,/home/achatzigiannis/tivit-logs/manual_training/sweeps/lowlogit_v1/epoch_129/calibration.json,0.013,0.025,0.06354130642392167,0.06004926996073935,0.35809491609815947,0.024008345925048143,0.00521920187514335,0.06491684772358479,0.05518169219789391
128,/home/achatzigiannis/tivit-logs/manual_training/checkpoints/epoch_128.pt,/home/achatzigiannis/tivit-logs/manual_training/sweeps/lowlogit_v1/epoch_128/calibration.json,0.013,0.025,0.06362571058525195,0.059902566667319586,0.34260815667112354,0.026695136643915627,0.004271217797389789,0.06264260258701905,0.05716253074762012
127,/home/achatzigiannis/tivit-logs/manual_training/checkpoints/epoch_127.pt,/home/achatzigiannis/tivit-logs/manual_training/sweeps/lowlogit_v1/epoch_127/calibration.json,0.013,0.03,0.06387463142683472,0.05929828845924233,0.33442028634190624,0.02382240986627033,0.002165669205984157,0.062421446815286066,0.05617513010319859
132,/home/achatzigiannis/tivit-logs/manual_training/checkpoints/epoch_132.pt,/home/achatzigiannis/tivit-logs/manual_training/sweeps/lowlogit_v1/epoch_132/calibration.json,0.023,0.03,0.06083262445333136,0.058793664933196155,0.3333195675146732,0.02309912911991153,0.00481231487562528,0.06507591827820926,0.05251141158818306
179,/home/achatzigiannis/tivit-logs/manual_training/checkpoints/epoch_179.pt,/home/achatzigiannis/tivit-logs/manual_training/sweeps/lowlogit_v1/epoch_179/calibration.json,0.043,0.02,0.06173347141379297,0.0586482118739185,0.4207758625013238,0.0424836558212958,0.009803917259472744,0.05397300938977225,0.06332341435806475
144,/home/achatzigiannis/tivit-logs/manual_training/checkpoints/epoch_144.pt,/home/achatzigiannis/tivit-logs/manual_training/sweeps/lowlogit_v1/epoch_144/calibration.json,0.023,0.04,0.06311574320915153,0.058427298984034336,0.3279285736157988,0.0322725190141931,0.007171667378382674,0.0685920542048007,0.04826254376326797
178,/home/achatzigiannis/tivit-logs/manual_training/checkpoints/epoch_178.pt,/home/achatzigiannis/tivit-logs/manual_training/sweeps/lowlogit_v1/epoch_178/calibration.json,0.013,0.015,0.061158864487714584,0.05791181904012135,0.5508015848948451,0.05304347380922155,0.011304343374803263,0.05881492119227722,0.05700871688796547
3,/home/achatzigiannis/tivit-logs/manual_training/checkpoints/epoch_3.pt,/home/achatzigiannis/tivit-logs/manual_training/sweeps/lowlogit_v1/epoch_003/calibration.json,0.008,0.01,0.06369990423531526,0.05031173038347654,0.4810382076208357,0.024891770032204948,0.0043289994696614304,0.06030795276906332,0.040315507997889764
1,/home/achatzigiannis/tivit-logs/manual_training/checkpoints/epoch_1.pt,/home/achatzigiannis/tivit-logs/manual_training/sweeps/lowlogit_v1/epoch_001/calibration.json,0.003,0.005,0.03823168196956997,0.03812088066623519,0.7726381162266128,0.0616332771422555,0.006163323368075085,0.03965450521913499,0.036587256113335395
